objectid,id,address,terminal_num,lat,long,nbikes,empty_docks
177403757,49,M St & New Jersey Ave SE,31208,38.8763,-77.0037,9,8
177403758,51,Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444,26,18
177403759,52,1st & M St NE,31603,38.9057,-77.0056,8,6
177403760,53,21st & M St NW,31212,38.90534,-77.046774,11,7
177403761,54,17th & K St NW,31213,38.90276,-77.03863,5,18
177403762,55,3rd & H St NW,31604,38.899408,-77.015289,4,10
177403763,56,3rd & D St SE,31605,38.8851,-77.0023,2,9
177403764,57,Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,10,4
177403765,58,14th & D St SE,31607,38.884,-76.9861,5,10
177403766,59,17th & Corcoran St NW,31214,38.9121,-77.0387,15,4
177403767,60,Van Ness Metro / UDC,31300,38.944551,-77.063896,9,6
177403768,61,Florida Ave & R St NW,31503,38.9126,-77.0135,2,13
177403769,62,8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,4,7
177403770,63,Ward Circle / American University,31301,38.938736,-77.087171,3,11
177403771,64,Wisconsin Ave & Newark St NW,31302,38.934881,-77.072755,1,18
177403772,65,14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,6,5
177403773,66,Anacostia Library,31804,38.865784,-76.9784,4,7
177403774,67,Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,5,5
177403775,68,Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,0,15
177403776,69,14th St & New York Ave NW,31216,38.899632,-77.031686,3,19
177403777,70,Benning Branch Library,31705,38.894,-76.947974,4,4
177403778,71,USDA / 12th & Independence Ave SW,31217,38.887237,-77.02823,17,22
177403779,72,Georgetown Harbor / 30th St NW,31215,38.902221,-77.059219,6,13
177403780,73,12th & Newton St NE,31501,38.933668,-76.991016,4,7
177403781,74,US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,2,13
177403782,75,L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,13,2
177403783,76,10th St & Constitution Ave NW,31219,38.893028,-77.026013,9,21
177403784,77,Kennedy Center,31211,38.897293,-77.05557,4,15
177403785,78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,18,1
177403786,79,18th & M St NW,31221,38.905067,-77.041779,7,18
177403787,80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,6,9
177403788,81,13th & H St NE,31611,38.900022,-76.988422,18,8
177403789,82,5th & F St NW,31620,38.897222,-77.019347,25,6
177403790,83,New York Ave & 15th St NW,31222,38.8991,-77.0337,11,8
177403791,84,Convention Center / 7th & M St NW,31223,38.905737,-77.02227,10,13
177403792,85,Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358,6,9
177403793,86,19th & L St NW,31224,38.903407,-77.043648,6,9
177403794,87,C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,7,16
177403795,88,Maine Ave & 7th St SW,31609,38.878694,-77.023054,18,0
177403796,89,D St & Maryland Ave NE,31612,38.894758,-76.997114,14,8
177403797,90,34th St & Wisconsin Ave NW,31226,38.916442,-77.0682,4,7
177403798,91,13th St & New York Ave NW,31227,38.900283,-77.029822,8,13
177403799,92,8th & H St NW,31228,38.8997,-77.023086,26,7
177403800,93,10th & Monroe St NE,31504,38.932514,-76.992889,1,10
177403801,94,Eckington Pl & Q St NE,31505,38.910972,-77.00495,0,23
177403802,95,6th & H St NE,31615,38.899972,-76.998347,14,9
177403803,96,3rd & H St NE,31616,38.900412,-77.001949,12,7
177403804,97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,9,5
177403805,98,4th & East Capitol St NE,31618,38.889955,-77.000349,4,7
177403806,99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,13,12
177403807,100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,3,8
177403808,101,13th & D St NE,31622,38.894832,-76.987633,23,8
177403809,102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,9,13
177403810,103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,1,29
177403811,104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,13,12
177403812,105,8th & F St NW,31232,38.896778,-77.022942,16,11
177403813,106,17th & K St NW / Farragut Square,31233,38.902061,-77.038322,18,16
177403814,107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,5,14
177403815,108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,1,14
177403816,109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,10,24
177403817,110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,3,18
177403818,111,11th & H St NE,31614,38.899983,-76.991383,13,6
177403819,112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,11,4
177403820,113,Columbus Circle / Union Station,31623,38.89696,-77.00493,34,18
177403821,114,North Capitol St & F St NW,31624,38.897446,-77.00989,10,12
177403822,115,11th & M St NW,31266,38.905607,-77.027137,6,12
177403823,116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,9,6
177403824,117,14th & G St NW,31238,38.898069,-77.031823,17,5
177403825,118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,16,7
177403826,124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,11,12
177403827,125,11th & F St NW,31262,38.897857,-77.026975,5,10
177403828,126,23rd & E St NW,31260,38.896104,-77.049882,3,16
177403829,127,Lynn & 19th St North,31014,38.897315,-77.070993,8,22
177403830,128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,15,4
177403831,129,Clarendon Blvd & Pierce St,31016,38.893438,-77.076389,3,12
177403832,130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,6,9
177403833,131,N Rhodes & 16th St N,31018,38.892164,-77.079375,5,6
177403834,132,Fairfax Village,31706,38.86559,-76.952103,8,7
177403835,133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,4,10
177403836,134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,3,10
177403837,135,Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,8,11
177403838,136,Rhode Island & Connecticut Ave NW,31239,38.905996,-77.039802,4,19
177403839,137,Thomas Circle,31241,38.9059,-77.0325,31,2
177403840,138,Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889,3,7
177403841,139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,3,12
177403842,140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,1,15
177403843,141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,4,22
177403844,142,Maryland & Independence Ave SW,31243,38.887299,-77.018939,16,21
177403845,143,4th & E St SW,31244,38.88412,-77.017445,9,10
177403846,144,3rd & G St SE,31625,38.881185,-77.001828,4,14
177403847,145,7th & R St NW / Shaw Library,31245,38.912719,-77.022155,10,4
177403848,146,9th & Upshur St NW,31404,38.9418,-77.0251,6,8
177403849,147,1st & Rhode Island Ave NW,31506,38.915417,-77.012289,2,13
177403850,148,Columbia Rd & Georgia Ave NW,31115,38.928121,-77.023795,0,19
177403851,149,California St & Florida Ave NW,31116,38.917761,-77.04062,9,9
177403852,150,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,5,14
177403853,151,3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,6,9
177403854,152,Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,9,5
177403855,153,M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,13,6
177403856,154,15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,8,6
177403857,155,Congress Heights Metro,31806,38.844711,-76.987823,5,10
177403858,156,N Quincy St & Glebe Rd,31035,38.876393,-77.107735,8,3
177403859,157,Barcroft Community Center,31033,38.850337,-77.100989,6,5
177403860,158,N Veitch  & 20th St N,31029,38.896923,-77.086502,2,13
177403861,159,10th & K St NW,31263,38.9024,-77.02622,6,16
177403862,160,Fairfax Dr & Wilson Blvd,31023,38.885801,-77.097745,3,8
177403863,161,Key Blvd & N Quinn St,31027,38.896015,-77.078107,0,11
